plotID,treeID,DBH,treeSP
1,1,28.9,1
1,2,23.8,1
1,3,25.7,1
1,4,25.1,1
1,5,42.6,1
1,6,28.8,1
1,7,36,1
1,8,26.2,1
1,9,48.7,1
1,10,44.3,1
10,1,34,2
10,2,32.7,1
10,3,13.2,2
10,4,14.9,2
10,5,31.1,2
10,6,29.6,2
10,7,30.4,2
10,8,22.6,2
10,9,31.8,2
10,10,36.2,2
11,1,42.1,1
11,2,30.4,1
11,3,37.2,1
11,4,27.7,1
11,5,35,1
11,6,41.3,1
11,7,44,1
11,8,37.5,1
11,9,32.7,1
11,10,23.6,1
12,1,25.1,3
12,2,31.4,3
12,3,15.1,1
12,4,35.7,3
12,5,26.1,1
12,6,12.2,1
12,7,31.3,1
12,8,41.7,1
12,9,31.5,1
12,10,31.6,3
13,1,34,1
13,2,36.2,1
13,3,17,1
13,4,16.5,1
13,5,25.2,1
13,6,22.7,1
13,7,27.7,1
13,8,27.5,1
13,9,17.6,1
13,10,34.5,1
16,1,18.5,1
16,2,35.3,1
16,3,19.3,1
16,4,28.7,1
16,5,27.7,1
16,6,21,1
16,7,26.4,1
16,8,13,3
16,9,32.4,1
16,10,35.6,1
17,1,26.6,1
17,2,23.5,1
17,3,35.4,1
17,4,29.7,1
17,5,41.6,1
17,6,35.6,1
17,7,32.4,1
17,8,25.2,1
17,9,24.2,1
17,10,42.4,1
18,1,14.5,1
18,2,9.4,1
18,3,22.7,1
18,4,30.9,1
18,5,37.3,1
18,6,19.1,1
18,7,21.5,1
18,8,22.4,1
18,9,32.9,1
18,10,20.7,3
19,1,35.9,1
19,2,15.9,1
19,3,27.1,1
19,4,20.6,1
19,5,19.4,1
19,6,25.9,1
19,7,25.2,1
19,8,18.6,1
19,9,22.9,1
19,10,26.4,1
2,1,38.7,1
2,2,35.2,1
2,3,19.8,3
2,4,30.8,1
2,5,15,1
2,6,12.2,1
2,7,39.6,1
2,8,40.4,1
2,9,34.4,1
2,10,36.1,2
21,1,42.1,1
21,2,35.2,1
21,3,30.5,1
21,4,31.9,1
21,5,33.4,1
21,6,21,1
21,7,45.9,1
21,8,32.9,1
21,9,29.7,1
21,10,23.5,1
22,1,29.9,1
22,2,19.9,1
22,3,28.4,3
22,4,21,1
22,5,37.3,1
22,6,31.9,1
22,7,39.5,1
22,8,39.7,1
22,9,36.9,1
22,10,35.9,1
23,1,30.7,1
23,2,35.8,1
23,3,31.6,1
23,4,23.6,1
23,5,33.4,1
23,6,32.4,1
23,7,39.9,1
23,8,29.7,1
23,9,25.5,1
23,10,40,1
3,1,34.4,1
3,2,25.8,1
3,3,31,2
3,4,31,3
3,6,25.6,3
3,7,19.7,1
3,8,54.3,1
3,9,30,3
3,10,37.9,1
4,1,29.8,2
4,2,35.2,2
4,3,28.1,1
4,4,23.5,1
4,5,33.5,1
4,6,18.9,1
4,7,32.3,1
4,8,38,2
4,9,21.5,3
4,10,20.5,3
5,1,34.3,1
5,2,25.4,1
5,3,25.4,2
5,5,35.4,1
5,6,25.4,2
5,7,31.9,1
5,8,23.7,1
5,9,32.3,1
5,10,31.8,1
6,1,8.4,1
6,2,35.5,1
6,4,24.5,1
6,5,25.9,1
6,6,36,1
6,7,41,1
6,8,23.4,1
6,9,17.6,1
6,10,18.4,3
7,1,25.7,1
7,2,24.5,1
7,3,31.8,1
7,4,33.5,1
7,5,31.6,3
7,6,25.7,1
7,7,21.8,1
7,8,35,1
7,9,37.9,1
7,10,42.3,1
8,1,31.4,3
8,2,29.7,1
8,3,25.2,1
8,4,35.4,1
8,5,18.2,1
8,6,32.4,1
8,7,38.9,1
8,8,22,1
8,9,24.2,1
8,10,41.9,1
9,1,24.9,3
9,2,26.3,2
9,3,21.2,1
9,4,42.3,1
9,5,23.7,1
9,6,31.5,2
9,7,46.4,1
9,8,38.4,3
9,9,30.1,2
9,10,31.7,1
1,11,17.4,1
1,12,15,1
1,19,32,1
1,21,20.8,1
1,23,22.5,1
1,24,15.6,1
1,25,17,1
1,26,13,1
1,27,32.7,1
1,29,19.4,1
1,30,42.5,1
1,32,50.5,1
1,33,10.8,1
1,35,14.9,1
1,36,20.1,1
1,37,11.8,1
2,11,7,1
2,13,7.3,1
2,14,6.2,1
2,15,10.7,1
2,16,49.9,1
2,17,31.4,1
2,19,6.8,1
2,21,32.9,3
2,22,17.4,1
2,23,18,1
2,24,9.9,1
2,25,19.4,1
2,26,14.4,1
2,29,29.7,1
2,30,23,1
2,31,40.5,1
2,32,21.9,3
2,33,8.2,1
2,34,8.2,1
2,35,30,1
2,36,13.7,1
2,38,6,1
2,39,37.5,1
2,40,5,1
3,12,22.7,3
3,13,6.9,1
3,14,10.5,1
3,15,9.4,1
3,16,21.3,2
3,17,26.3,1
3,18,8.8,1
3,19,7,1
3,21,16.5,3
3,22,33.4,1
3,23,5.4,1
3,25,35.4,1
3,26,15.6,3
3,27,46.4,1
4,11,6.5,3
4,12,23,2
4,13,28.7,1
4,16,7.5,3
4,17,10.8,1
4,18,32.4,1
4,19,24,2
4,20,14.5,1
4,21,29.4,1
4,22,9.8,3
4,23,12.8,3
4,24,11.5,3
4,25,38.6,3
5,11,37.3,1
5,12,15,1
5,13,15.2,1
5,14,27.9,2
5,15,17.5,2
5,16,25.4,2
5,17,30.1,2
5,18,9.8,1
5,19,30.5,2
5,20,19.3,1
6,11,5.1,1
6,12,10,1
6,14,6.5,1
6,15,6,1
6,16,8.5,1
6,17,28.1,2
6,18,22.7,2
6,20,8.5,1
6,21,8.7,2
6,23,10.4,1
6,24,31.7,1
6,25,6.5,1
6,26,22.4,1
6,27,13,1
6,28,13.1,1
6,29,8.5,1
6,30,21.1,1
6,32,12.7,1
6,34,28.9,1
6,35,6.2,1
6,37,8,1
6,38,7.7,1
6,39,10,1
6,41,19.5,1
6,42,7.4,1
6,43,17.8,1
6,45,22.6,1
7,11,8.7,1
7,12,36.8,1
7,13,18.6,3
7,16,12,1
7,17,6.3,1
7,18,31.6,1
7,19,22.2,1
7,20,15.4,1
7,21,7.5,1
7,22,16.7,1
7,27,18.3,1
7,28,20.8,1
8,11,16.5,1
8,12,16,3
8,13,26.9,1
8,14,25.1,2
8,15,5.1,1
8,16,14.2,1
8,18,30.4,1
8,20,19.2,1
8,21,41.3,3
8,22,24.3,1
9,11,7.4,1
9,12,9.8,1
9,13,16.2,1
9,14,5.1,1
9,15,10.2,1
9,21,22.4,1
9,22,14.5,1
9,23,25,2
9,24,14.2,3
10,11,26.9,2
10,12,29.5,1
10,13,15.6,1
10,14,11.1,1
10,15,36.8,2
10,17,7.3,1
10,18,17.5,1
10,19,34.8,2
10,21,13.1,1
10,22,27,2
10,23,19.7,2
10,24,15.2,2
10,25,21.6,2
10,26,14,1
10,27,16.6,1
11,11,33,1
11,14,27.9,1
11,15,28.9,1
11,16,32.5,1
11,17,14.3,1
11,18,31.4,1
11,19,37.6,1
11,21,16.1,1
11,22,17.2,1
11,23,21.4,1
11,24,23.9,1
11,26,36.5,1
11,27,30,1
11,29,19.8,1
11,30,27,1
11,31,38.6,1
12,11,24.11,3
12,13,16.2,1
12,14,29.1,3
12,15,18.2,1
12,16,22.4,1
12,17,37.7,1
12,20,9.7,1
12,21,11.4,1
12,22,19.9,1
12,23,11.9,1
12,24,24.5,3
12,25,13.9,1
12,26,9,1
12,27,9.2,1
13,11,26,1
13,13,16.5,1
13,14,16.7,1
13,15,18.1,1
13,19,14.5,1
13,20,20.5,1
13,21,22.4,1
13,23,21.5,1
13,24,9,1
13,25,25.6,1
13,28,16.3,1
13,29,30.5,1
13,30,32,1
13,31,15.7,1
13,32,19.5,1
13,33,21.8,1
13,34,23.8,1
13,35,21.5,1
13,36,33.9,1
16,11,17.1,1
16,13,37.4,3
16,15,15.5,1
16,16,36.7,1
16,18,14.8,1
16,19,39.9,1
16,20,29.4,1
16,21,15,1
16,24,32.9,1
16,26,21.4,1
16,27,17.6,1
16,29,6,3
16,33,29.1,1
16,34,22.4,1
16,35,17.4,1
16,36,23.4,3
16,37,15.5,1
16,39,27.9,1
17,11,31.3,1
17,12,18.8,3
17,13,28,3
17,14,16.1,1
17,15,29.7,3
17,17,25.8,1
17,18,24.6,1
17,19,22.6,1
17,22,29,1
17,23,30.5,1
17,26,33.6,1
17,28,45,1
17,30,33.2,3
18,11,27.8,1
18,13,14.5,1
18,14,27.6,1
18,17,11.8,1
18,18,28.7,1
18,19,33,1
18,20,17.2,1
18,22,20.3,1
18,23,33.3,1
18,24,12.8,1
18,25,16.1,1
18,26,9,3
19,11,24.7,1
19,12,7.2,1
19,13,34.9,1
19,14,15.5,1
19,15,40.7,1
19,16,19,1
19,17,18.9,1
19,18,24,1
19,19,14.6,1
19,20,15,1
19,21,14.1,1
19,22,29.1,1
19,23,12.5,3
19,24,19.6,1
19,25,15.9,1
19,26,9.2,3
19,27,9.5,3
19,28,27,1
19,31,22.7,1
19,32,8,3
19,33,30.5,1
21,11,29.6,1
21,13,28,1
21,17,32.7,1
21,20,20.5,1
21,21,25.6,1
21,22,13.1,1
21,23,31,1
21,24,26.5,1
22,11,21,1
22,12,24.6,3
22,13,17.2,1
22,16,25.7,1
22,20,17.9,1
23,11,30.3,1
23,12,23.3,1
23,16,33,1
23,17,32.6,1
23,21,29.4,1
23,24,29.7,1
23,26,11.7,3
23,28,21.2,3
